fire_name,fire_year,alarm_date,contained_date,acres,cause,latitude,longitude,county
Rock Fire 2022-01,2022,2022-10-28,2022-11-18,12.7,Vehicle,38.4143,-122.5395,Napa
Oak Fire 2020-02,2020,2020-10-03,2020-10-05,1635.2,Campfire,38.3941,-122.2521,Napa
Ridge Fire 2024-03,2024,2024-07-08,2024-07-29,13132.1,Debris Burning,38.2757,-122.1785,Napa
Ridge Fire 2020-04,2020,2020-11-13,2020-12-04,386.2,Vehicle,38.255,-122.5176,Napa
Pine Fire 2020-05,2020,2020-08-01,2020-08-02,329.2,Vehicle,38.4956,-122.6218,Napa
Summit Fire 2024-06,2024,2024-06-04,2024-06-14,17728.2,Campfire,38.5657,-122.2785,Napa
Silverado Fire 2021-07,2021,2021-06-19,2021-07-03,47.5,Arson,38.288,-122.427,Napa
Summit Fire 2023-08,2023,2023-07-22,2023-07-23,3485.7,Lightning,38.3519,-122.2493,Napa
Lake Fire 2022-09,2022,2022-08-04,2022-08-06,444.8,Arson,38.7664,-122.3132,Napa
Creek Fire 2024-10,2024,2024-06-26,2024-06-29,764.5,Under Investigation,38.2579,-122.1809,Napa
Summit Fire 2021-11,2021,2021-10-26,2021-11-09,4414.9,Campfire,38.7476,-122.332,Napa
Lake Fire 2022-12,2022,2022-07-02,2022-07-03,7.6,Vehicle,38.4295,-122.5722,Napa
Canyon Fire 2024-13,2024,2024-08-06,2024-08-11,7955.7,Debris Burning,38.3851,-122.6338,Napa
Oak Fire 2019-14,2019,2019-09-15,2019-09-17,185.8,Equipment Use,38.5951,-122.3239,Napa
Valley Fire 2019-15,2019,2019-10-22,2019-11-01,1265.8,Equipment Use,38.2799,-122.1357,Napa
Summit Fire 2022-16,2022,2022-07-08,2022-07-29,2662.6,Under Investigation,38.7131,-122.2388,Napa
Pine Fire 2021-17,2021,2021-11-14,2021-11-16,286.0,Arson,38.2191,-122.1627,Napa
Vineyard Fire 2024-18,2024,2024-10-17,2024-10-22,20553.3,Power Lines,38.3844,-122.2761,Napa
Ridge Fire 2022-19,2022,2022-09-11,2022-09-14,21303.3,Power Lines,38.7355,-122.6202,Napa
Lake Fire 2024-20,2024,2024-07-09,2024-07-30,10144.7,Equipment Use,38.3735,-122.2342,Napa
Silverado Fire 2019-21,2019,2019-07-28,2019-07-31,20276.2,Lightning,38.4256,-122.6356,Napa
Vineyard Fire 2022-22,2022,2022-07-15,2022-07-25,919.2,Under Investigation,38.7991,-122.1804,Napa
Trail Fire 2020-23,2020,2020-10-10,2020-10-11,4796.3,Vehicle,38.5168,-122.1183,Napa
Ridge Fire 2023-24,2023,2023-06-14,2023-06-17,21993.9,Arson,38.2274,-122.3562,Napa
Summit Fire 2023-25,2023,2023-07-10,2023-07-11,1244.3,Lightning,38.278,-122.4797,Napa
