location,date,temp_max,humidity,wind_speed,wind_deg,pressure,visibility,uvi,fire_risk_score
American_Canyon,2017-01-01,61.9,71,8.4,121,1008,12000,2.9,0.15
Calistoga,2017-01-01,65.2,94,10.0,337,998,12000,4.0,0.19
Napa_Airport,2017-01-01,59.0,81,7.7,137,1014,15000,2.5,0.17
St_Helena,2017-01-01,72.0,94,9.6,48,1012,20000,4.3,0.12
Yountville,2017-01-01,50.2,77,3.6,127,1002,10000,1.0,0.06
American_Canyon,2017-01-06,54.3,85,14.8,132,1006,20000,1.7,0.19
Calistoga,2017-01-06,52.4,86,18.1,109,1010,15000,1.5,0.34
Napa_Airport,2017-01-06,34.0,59,10.6,208,1022,20000,0.0,0.0
St_Helena,2017-01-06,59.2,80,3.1,254,1014,10000,2.7,0.18
Yountville,2017-01-06,57.8,73,12.0,14,1011,20000,2.7,0.15
American_Canyon,2017-01-13,50.4,69,8.1,68,1018,12000,1.6,0.18
Calistoga,2017-01-13,64.2,77,12.3,240,1016,10000,2.4,0.13
Napa_Airport,2017-01-13,66.9,76,9.5,100,1013,15000,3.6,0.13
St_Helena,2017-01-13,65.4,67,6.4,239,1016,12000,3.8,0.11
Yountville,2017-01-13,70.7,85,7.0,225,1020,10000,3.2,0.17
American_Canyon,2017-01-18,75.0,55,1.6,299,1007,10000,4.0,0.05
Calistoga,2017-01-18,43.1,76,16.8,301,1008,20000,0.0,0.32
Napa_Airport,2017-01-18,66.9,71,10.2,109,1012,12000,3.9,0.01
St_Helena,2017-01-18,49.1,77,4.7,75,1024,12000,2.1,0.14
Yountville,2017-01-18,43.7,64,2.1,265,1018,10000,1.4,0.11
American_Canyon,2017-01-19,54.6,56,0.1,334,1011,10000,1.0,0.06
Calistoga,2017-01-19,62.9,69,3.6,134,1020,12000,3.2,0.15
Napa_Airport,2017-01-19,75.4,76,1.5,9,1018,15000,4.3,0.19
St_Helena,2017-01-19,76.3,82,2.7,42,1014,12000,4.6,0.03
Yountville,2017-01-19,75.3,64,0.5,263,1019,10000,4.9,0.07
American_Canyon,2017-01-21,64.1,71,3.4,191,1024,15000,3.3,0.17
Calistoga,2017-01-21,44.3,88,0.0,57,1012,12000,0.0,0.13
Napa_Airport,2017-01-21,66.2,78,0.9,15,999,12000,2.8,0.05
St_Helena,2017-01-21,30.0,75,4.8,149,1019,20000,0.0,0.14
Yountville,2017-01-21,60.8,74,4.9,67,1021,12000,2.4,0.17
American_Canyon,2017-01-22,64.3,80,0.0,94,1019,15000,3.5,0.19
Calistoga,2017-01-22,70.1,64,4.4,268,1020,15000,4.4,0.1
Napa_Airport,2017-01-22,66.1,68,9.2,258,1000,10000,3.6,0.2
St_Helena,2017-01-22,82.6,68,10.5,205,1015,10000,5.2,0.02
Yountville,2017-01-22,48.2,73,9.6,105,1014,15000,1.7,0.04
American_Canyon,2017-01-25,70.4,93,4.1,314,1033,12000,4.7,0.17
Calistoga,2017-01-25,64.7,75,8.2,200,1022,10000,4.1,0.01
Napa_Airport,2017-01-25,82.9,80,7.6,73,1005,12000,4.8,0.02
St_Helena,2017-01-25,59.9,93,0.0,302,1015,20000,2.9,0.02
Yountville,2017-01-25,51.3,80,6.4,105,1002,10000,2.2,0.16
American_Canyon,2017-02-01,59.6,83,2.9,201,1012,12000,3.0,0.05
Calistoga,2017-02-01,52.2,86,1.6,133,999,20000,2.3,0.12
Napa_Airport,2017-02-01,51.6,66,3.4,277,1013,20000,1.0,0.02
St_Helena,2017-02-01,42.2,95,3.1,102,1027,20000,0.7,0.01
Yountville,2017-02-01,49.9,88,9.1,225,1000,20000,0.3,0.11
American_Canyon,2017-02-03,70.7,55,0.0,290,1020,15000,3.4,0.14
Calistoga,2017-02-03,81.5,75,7.8,270,1028,12000,4.9,0.12
Napa_Airport,2017-02-03,54.1,85,14.1,46,1013,20000,1.3,0.18
St_Helena,2017-02-03,66.8,81,6.9,308,1007,12000,3.4,0.02
Yountville,2017-02-03,69.2,83,5.1,209,1016,20000,3.7,0.03
American_Canyon,2017-02-10,51.9,74,3.2,159,1020,10000,1.2,0.13
Calistoga,2017-02-10,44.1,60,0.0,110,1017,12000,1.3,0.1
Napa_Airport,2017-02-10,78.9,86,11.5,336,1013,20000,5.7,0.17
St_Helena,2017-02-10,71.7,55,6.5,222,1015,12000,4.1,0.11
Yountville,2017-02-10,53.7,85,2.9,85,1007,20000,0.8,0.04
American_Canyon,2017-02-11,43.3,55,9.8,202,1024,20000,0.0,0.05
Calistoga,2017-02-11,41.9,63,16.0,355,1010,12000,0.4,0.28
Napa_Airport,2017-02-11,47.7,95,6.1,128,1016,20000,0.4,0.19
St_Helena,2017-02-11,44.2,68,16.9,33,1018,15000,0.1,0.15
Yountville,2017-02-11,56.7,95,7.3,171,1008,10000,2.8,0.2
American_Canyon,2017-02-12,61.2,86,8.4,179,1010,15000,2.9,0.03
Calistoga,2017-02-12,77.5,69,1.5,347,1005,15000,4.0,0.2
Napa_Airport,2017-02-12,46.2,81,3.6,352,1011,12000,1.3,0.06
St_Helena,2017-02-12,62.6,81,14.2,72,1022,20000,2.9,0.03
Yountville,2017-02-12,76.2,88,11.6,292,1011,15000,4.9,0.03
American_Canyon,2017-02-14,58.6,71,11.4,157,1014,15000,2.2,0.17
Calistoga,2017-02-14,44.4,66,1.6,148,1009,10000,0.0,0.09
Napa_Airport,2017-02-14,60.2,43,2.3,91,1027,12000,2.6,0.06
St_Helena,2017-02-14,53.5,70,0.3,100,1025,15000,2.4,0.08
Yountville,2017-02-14,80.3,77,1.8,290,1033,10000,4.7,0.17
American_Canyon,2017-02-21,58.0,95,14.5,112,1013,10000,1.8,0.1
Calistoga,2017-02-21,63.9,70,8.6,161,1009,15000,2.7,0.01
Napa_Airport,2017-02-21,60.4,59,6.1,103,1007,12000,2.2,0.02
St_Helena,2017-02-21,55.8,61,2.0,103,1011,20000,1.1,0.16
Yountville,2017-02-21,53.4,73,10.1,340,1016,10000,1.7,0.15
American_Canyon,2017-02-23,53.6,58,8.3,35,1009,12000,2.4,0.13
Calistoga,2017-02-23,65.6,95,2.9,151,1040,15000,3.4,0.14
Napa_Airport,2017-02-23,61.9,60,0.0,299,1019,10000,2.0,0.06
St_Helena,2017-02-23,76.4,55,7.0,16,1008,20000,5.4,0.1
Yountville,2017-02-23,57.8,51,0.0,181,1013,10000,1.4,0.16
American_Canyon,2017-02-28,68.8,68,6.6,122,1010,10000,2.7,0.09
Calistoga,2017-02-28,75.1,53,0.7,256,1018,10000,3.9,0.03
Napa_Airport,2017-02-28,68.6,95,4.4,276,1022,12000,4.5,0.0
St_Helena,2017-02-28,70.1,61,9.8,309,1009,10000,4.5,0.06
Yountville,2017-02-28,59.5,89,0.0,96,1020,15000,1.6,0.09
American_Canyon,2017-03-07,51.8,62,11.7,224,1004,12000,2.0,0.29
Calistoga,2017-03-07,72.5,66,6.5,127,1028,10000,4.7,0.25
Napa_Airport,2017-03-07,68.7,64,8.3,311,1002,10000,4.5,0.11
St_Helena,2017-03-07,62.6,52,0.0,26,1013,12000,3.3,0.19
Yountville,2017-03-07,52.2,61,17.2,341,1026,15000,1.4,0.31
American_Canyon,2017-03-09,97.9,66,4.6,136,1022,12000,7.0,0.69
Calistoga,2017-03-09,66.4,79,4.9,163,1008,10000,3.0,0.27
Napa_Airport,2017-03-09,77.4,75,11.9,243,1029,15000,4.5,0.17
St_Helena,2017-03-09,51.4,83,7.3,78,1017,10000,0.7,0.18
Yountville,2017-03-09,50.5,38,7.7,287,1017,15000,2.2,0.18
American_Canyon,2017-03-12,88.2,29,4.1,233,1010,20000,6.1,0.64
Calistoga,2017-03-12,49.0,16,1.6,123,1010,8000,1.3,0.44
Napa_Airport,2017-03-12,75.1,93,15.9,44,1023,10000,3.6,0.28
St_Helena,2017-03-12,68.1,79,15.6,317,1015,15000,2.6,0.37
Yountville,2017-03-12,52.6,44,0.0,219,1011,20000,0.9,0.16
American_Canyon,2017-03-14,80.6,39,5.0,51,1013,10000,5.6,0.26
Calistoga,2017-03-14,82.4,64,6.4,174,1015,10000,4.7,0.27
Napa_Airport,2017-03-14,66.9,67,1.6,316,1026,20000,3.7,0.16
St_Helena,2017-03-14,91.7,81,9.8,180,1009,10000,6.2,0.49
Yountville,2017-03-14,61.3,73,13.2,38,1023,15000,3.3,0.12
American_Canyon,2017-03-21,52.8,93,9.5,357,1026,15000,1.6,0.1
Calistoga,2017-03-21,88.7,64,10.0,234,1021,20000,5.6,0.38
Napa_Airport,2017-03-21,77.2,49,17.3,130,1024,12000,3.7,0.31
St_Helena,2017-03-21,84.8,82,17.3,304,1032,20000,5.3,0.39
Yountville,2017-03-21,70.7,88,3.2,322,1012,12000,3.1,0.2
American_Canyon,2017-03-22,49.3,62,13.7,266,1021,10000,2.1,0.16
Calistoga,2017-03-22,83.9,60,10.9,192,1019,12000,6.2,0.14
Napa_Airport,2017-03-22,78.1,95,10.1,172,1021,12000,4.9,0.12
St_Helena,2017-03-22,77.9,52,7.1,268,1018,15000,5.1,0.18
Yountville,2017-03-22,70.7,47,0.0,121,1011,12000,3.3,0.23
American_Canyon,2017-03-23,64.2,77,5.9,185,1027,15000,2.1,0.21
Calistoga,2017-03-23,95.0,58,6.9,59,1018,15000,6.6,0.31
Napa_Airport,2017-03-23,83.2,92,0.0,103,1009,10000,6.2,0.29
St_Helena,2017-03-23,81.8,69,11.9,5,1012,20000,5.7,0.19
Yountville,2017-03-23,85.3,61,10.1,30,1013,12000,6.5,0.41
American_Canyon,2017-03-26,57.7,36,12.5,341,1005,15000,1.2,0.22
Calistoga,2017-03-26,72.3,52,9.6,74,1021,15000,4.0,0.2
Napa_Airport,2017-03-26,81.2,36,10.4,143,1022,12000,4.7,0.22
St_Helena,2017-03-26,65.2,37,14.7,71,1006,10000,3.3,0.27
Yountville,2017-03-26,84.0,32,5.7,223,1007,20000,6.4,0.12
American_Canyon,2017-03-27,78.5,65,9.0,359,1021,10000,5.0,0.28
Calistoga,2017-03-27,82.1,53,4.3,13,1002,20000,6.0,0.24
Napa_Airport,2017-03-27,92.4,46,10.1,346,1016,10000,7.3,0.36
St_Helena,2017-03-27,64.3,56,7.4,243,1010,20000,2.6,0.1
Yountville,2017-03-27,86.8,47,7.5,359,1014,20000,6.5,0.38
American_Canyon,2017-03-30,89.4,34,13.6,120,1016,12000,6.2,0.31
Calistoga,2017-03-30,69.7,89,11.1,222,1005,20000,3.3,0.15
Napa_Airport,2017-03-30,52.8,77,7.7,30,1010,20000,2.3,0.27
St_Helena,2017-03-30,58.0,95,16.7,278,1010,12000,3.1,0.26
Yountville,2017-03-30,73.2,38,2.1,100,1014,12000,3.8,0.1
American_Canyon,2017-04-06,88.4,46,8.0,351,1017,12000,6.1,0.49
Calistoga,2017-04-06,74.4,68,7.5,281,1015,12000,5.2,0.2
Napa_Airport,2017-04-06,66.2,52,5.8,175,1012,20000,2.4,0.11
St_Helena,2017-04-06,63.6,56,10.4,335,1012,10000,3.7,0.12
Yountville,2017-04-06,58.4,58,9.2,346,1025,20000,3.0,0.22
American_Canyon,2017-04-13,65.9,82,3.4,240,1017,15000,2.4,0.21
Calistoga,2017-04-13,58.9,95,13.6,268,1017,12000,2.7,0.11
Napa_Airport,2017-04-13,66.8,31,8.0,355,1025,12000,3.8,0.22
St_Helena,2017-04-13,86.9,77,0.0,154,1001,10000,6.5,0.39
Yountville,2017-04-13,54.9,56,5.4,128,1014,20000,2.4,0.27
American_Canyon,2017-04-20,89.0,95,0.0,7,1022,15000,6.3,0.49
Calistoga,2017-04-20,70.9,41,3.7,42,1007,15000,3.8,0.18
Napa_Airport,2017-04-20,71.8,95,12.5,172,1014,15000,4.9,0.17
St_Helena,2017-04-20,70.1,71,10.9,23,1033,15000,4.3,0.25
Yountville,2017-04-20,54.2,58,7.1,167,1010,15000,2.0,0.13
American_Canyon,2017-04-21,55.3,57,13.3,193,1031,12000,1.2,0.24
Calistoga,2017-04-21,92.9,83,7.7,160,1025,12000,6.2,0.36
Napa_Airport,2017-04-21,89.7,79,6.1,171,1011,20000,6.9,0.34
St_Helena,2017-04-21,56.8,75,6.7,199,1007,10000,2.0,0.14
Yountville,2017-04-21,80.1,67,2.2,93,1020,12000,5.3,0.13
American_Canyon,2017-04-23,86.2,35,4.9,111,999,20000,6.3,0.44
Calistoga,2017-04-23,61.5,67,8.9,78,1015,10000,1.7,0.3
Napa_Airport,2017-04-23,86.1,76,8.0,11,1020,15000,6.4,0.44
St_Helena,2017-04-23,87.2,80,13.9,121,1007,12000,5.3,0.44
Yountville,2017-04-23,82.5,74,0.0,43,1010,15000,6.2,0.27
American_Canyon,2017-04-24,59.9,86,9.7,170,1013,10000,3.5,0.12
Calistoga,2017-04-24,59.4,43,5.9,18,1036,12000,3.2,0.17
Napa_Airport,2017-04-24,66.8,61,14.5,259,1017,12000,3.2,0.14
St_Helena,2017-04-24,43.8,55,7.9,316,1019,10000,1.2,0.29
Yountville,2017-04-24,62.9,56,8.4,45,1003,10000,3.8,0.13
American_Canyon,2017-04-26,70.2,52,1.6,300,1017,10000,4.5,0.24
Calistoga,2017-04-26,66.7,71,8.1,43,1012,12000,2.4,0.11
Napa_Airport,2017-04-26,56.5,95,5.3,243,1004,15000,1.7,0.14
St_Helena,2017-04-26,75.1,74,2.6,301,1017,10000,4.7,0.12
Yountville,2017-04-26,50.8,57,0.3,329,1017,20000,0.8,0.25
American_Canyon,2017-05-03,76.6,95,6.6,311,1014,12000,4.6,0.3
Calistoga,2017-05-03,88.4,45,9.4,305,1012,20000,5.1,0.35
Napa_Airport,2017-05-03,70.9,20,13.8,143,1015,10000,4.6,0.45
St_Helena,2017-05-03,93.5,49,9.9,342,1013,12000,6.4,0.37
Yountville,2017-05-03,75.2,55,2.5,190,1009,15000,4.8,0.22
American_Canyon,2017-05-05,82.8,52,18.5,268,1027,15000,5.0,0.41
Calistoga,2017-05-05,87.5,71,8.3,359,1015,20000,6.1,0.41
Napa_Airport,2017-05-05,69.5,58,4.3,9,1013,20000,4.0,0.29
St_Helena,2017-05-05,42.8,37,8.2,86,1010,12000,1.3,0.15
Yountville,2017-05-05,71.7,46,14.7,191,1004,10000,4.5,0.11
American_Canyon,2017-05-08,85.8,52,5.7,332,1018,10000,5.4,0.49
Calistoga,2017-05-08,63.9,57,2.9,293,1018,15000,3.2,0.26
Napa_Airport,2017-05-08,103.6,59,10.2,191,999,12000,8.6,0.67
St_Helena,2017-05-08,59.7,93,6.6,172,1015,10000,2.5,0.1
Yountville,2017-05-08,61.6,53,11.9,206,1008,20000,2.2,0.26
American_Canyon,2017-05-09,63.3,62,12.4,18,1008,10000,3.5,0.24
Calistoga,2017-05-09,44.1,43,9.3,249,1007,15000,1.0,0.28
Napa_Airport,2017-05-09,66.9,81,4.7,310,1021,20000,3.0,0.27
St_Helena,2017-05-09,62.2,77,4.4,256,1015,15000,2.4,0.23
Yountville,2017-05-09,62.8,80,4.6,93,1008,12000,2.4,0.19
American_Canyon,2017-05-12,51.2,61,3.0,44,1013,15000,0.7,0.27
Calistoga,2017-05-12,97.1,76,8.9,335,1015,12000,6.4,0.72
Napa_Airport,2017-05-12,81.2,78,7.2,138,1014,15000,5.2,0.11
St_Helena,2017-05-12,66.3,47,9.4,123,1020,12000,2.9,0.17
Yountville,2017-05-12,81.8,70,12.9,348,1014,15000,4.7,0.27
American_Canyon,2017-05-15,74.4,95,12.2,226,1008,20000,3.6,0.29
Calistoga,2017-05-15,69.3,50,0.0,70,1005,10000,2.8,0.3
Napa_Airport,2017-05-15,82.9,52,9.7,335,1033,12000,4.6,0.24
St_Helena,2017-05-15,36.4,56,7.8,340,1022,20000,0.0,0.1
Yountville,2017-05-15,68.3,95,3.0,16,1028,20000,3.9,0.12
American_Canyon,2017-05-20,67.1,73,5.7,339,1005,12000,4.0,0.1
Calistoga,2017-05-20,51.9,51,3.7,306,1015,10000,0.8,0.27
Napa_Airport,2017-05-20,63.8,41,0.0,280,1024,20000,3.0,0.17
St_Helena,2017-05-20,98.0,75,14.2,118,1020,12000,7.7,0.65
Yountville,2017-05-20,58.7,76,2.8,146,1005,12000,1.8,0.18
American_Canyon,2017-05-22,93.2,32,8.5,75,1011,10000,6.2,0.34
Calistoga,2017-05-22,53.6,70,0.0,166,1009,12000,1.3,0.2
Napa_Airport,2017-05-22,49.3,82,11.7,289,1020,15000,0.4,0.26
St_Helena,2017-05-22,81.8,51,12.9,180,1032,20000,5.5,0.15
Yountville,2017-05-22,58.1,67,6.7,190,1005,15000,1.4,0.28
American_Canyon,2017-05-23,53.3,59,14.5,65,1017,12000,1.4,0.14
Calistoga,2017-05-23,47.6,95,0.7,309,1017,10000,0.0,0.1
Napa_Airport,2017-05-23,62.9,40,3.5,128,1012,20000,2.9,0.28
St_Helena,2017-05-23,101.9,73,15.6,336,1008,10000,7.3,0.84
Yountville,2017-05-23,71.9,43,12.9,267,1016,12000,4.7,0.12
American_Canyon,2017-05-24,65.8,41,16.5,172,1013,20000,3.7,0.4
Calistoga,2017-05-24,80.4,82,0.0,350,1011,12000,5.0,0.17
Napa_Airport,2017-05-24,63.8,57,3.9,128,1001,12000,3.7,0.28
St_Helena,2017-05-24,37.4,95,6.9,150,1011,15000,0.0,0.18
Yountville,2017-05-24,39.9,38,5.3,210,1008,10000,0.2,0.11
American_Canyon,2017-05-31,36.9,84,1.6,300,1012,20000,0.3,0.22
Calistoga,2017-05-31,84.8,46,6.3,97,1017,12000,5.0,0.28
Napa_Airport,2017-05-31,74.1,77,6.2,183,999,10000,3.6,0.13
St_Helena,2017-05-31,67.9,80,8.9,67,1018,12000,3.1,0.12
Yountville,2017-05-31,55.6,84,2.3,140,1019,10000,1.0,0.11
American_Canyon,2017-06-02,91.2,8,10.9,68,1018,5000,6.8,1.0
Calistoga,2017-06-02,81.9,18,14.0,71,1016,5000,4.3,0.65
Napa_Airport,2017-06-02,71.1,54,10.0,214,1005,12000,3.0,0.54
St_Helena,2017-06-02,78.4,37,10.3,314,1004,20000,4.3,0.57
Yountville,2017-06-02,83.7,73,10.3,121,1001,10000,5.8,0.5
American_Canyon,2017-06-04,69.7,25,16.3,95,1028,15000,3.5,0.78
Calistoga,2017-06-04,82.4,22,13.8,357,1013,15000,5.8,0.67
Napa_Airport,2017-06-04,81.7,48,13.6,122,1016,20000,5.2,0.49
St_Helena,2017-06-04,87.0,51,7.4,355,1029,20000,5.9,0.66
Yountville,2017-06-04,102.7,72,8.0,182,1005,15000,7.6,1.0
American_Canyon,2017-06-11,73.5,52,13.2,145,1022,12000,4.5,0.59
Calistoga,2017-06-11,71.1,34,5.1,332,1008,20000,4.8,0.41
Napa_Airport,2017-06-11,81.2,27,11.0,228,1002,20000,5.3,0.66
St_Helena,2017-06-11,86.2,41,18.3,285,1005,15000,4.9,0.95
Yountville,2017-06-11,68.0,56,23.3,270,1003,20000,3.7,0.75
American_Canyon,2017-06-13,103.8,22,2.3,352,1028,12000,8.7,1.0
Calistoga,2017-06-13,109.5,32,20.6,313,1025,20000,7.8,1.0
Napa_Airport,2017-06-13,77.3,29,3.9,162,1021,12000,5.5,0.62
St_Helena,2017-06-13,100.4,57,14.7,158,1018,15000,7.2,1.0
Yountville,2017-06-13,78.3,29,14.5,74,1006,10000,4.4,0.75
American_Canyon,2017-06-14,96.5,31,8.2,209,1026,10000,6.6,1.0
Calistoga,2017-06-14,73.6,34,8.0,46,1018,20000,3.7,0.46
Napa_Airport,2017-06-14,73.9,24,9.6,343,1027,15000,5.2,0.65
St_Helena,2017-06-14,83.6,29,4.5,258,1015,12000,4.5,0.77
